"host_identity_verified","neighbourhood_group","neighbourhood","lat","long","country","country_code","instant_bookable","cancellation_policy","room_type","Construction_year","price","service_fee","minimum_nights","number_of_reviews","last_review","reviews_per_month","review_rate_number","calculated_host_listings_count","availability_365"
"verified","Brooklyn","Bedford-Stuyvesant",40.68876,-73.94312,"United States","US",FALSE,"moderate","Private room",2004,203,41,60,0,NA,NA,NA,1,294
"verified","Brooklyn","Bushwick",40.70186,-73.92745,"United States","US",TRUE,"moderate","Entire home/apt",2005,1097,219,2,231,"6/22/2019",1.96,3,2,214
"verified","Brooklyn","Flatbush",40.63702,-73.96327,"United States","US",TRUE,"strict","Private room",2011,1020,204,1,0,NA,NA,3,1,356
NA,"Manhattan","Lower East Side",40.71401,-73.98917,"United States","US",TRUE,"moderate","Shared room",2012,1010,202,1,214,"7/5/2019",1.81,5,4,110
"unconfirmed","Manhattan","East Village",40.7229,-73.98199,"United States","US",FALSE,"strict","Private room",2005,563,113,2,245,"6/21/2019",2.08,3,2,354
"verified","Brooklyn","South Slope",40.66278,-73.97966,"United States","US",TRUE,"flexible","Entire home/apt",2020,370,74,3,15,"5/27/2019",0.39,2,1,33
NA,"Brooklyn","Fort Greene",40.69673,-73.97584,"United States","US",FALSE,"strict","Private room",2008,687,137,7,25,"9/30/2018",0.23,1,1,405
"unconfirmed","Manhattan","Upper West Side",40.79009,-73.97927,"United States","US",FALSE,"strict","Private room",2017,856,171,4,81,"6/16/2019",0.69,3,1,86
"unconfirmed","Manhattan","Harlem",40.81175,-73.94478,"United States","US",TRUE,"flexible","Entire home/apt",2006,62,12,7,97,"6/13/2019",0.84,NA,1,152
NA,"Brooklyn","Prospect-Lefferts Gardens",40.65944,-73.96238,"United States","US",FALSE,"strict","Entire home/apt",2007,435,87,NA,11,"6/5/2019",0.49,NA,1,353
"unconfirmed","Queens","Long Island City",40.74771,-73.9474,"United States","US",TRUE,"flexible","Private room",2022,916,183,NA,248,"7/1/2019",2.25,NA,1,26
"verified","Brooklyn","Bedford-Stuyvesant",40.68111,-73.95591,"United States","US",TRUE,"moderate","Entire home/apt",2019,459,92,NA,61,"5/25/2019",0.52,NA,1,32
"verified","Brooklyn","Bedford-Stuyvesant",40.68554,-73.9409,"United States","US",FALSE,"moderate","Entire home/apt",2015,363,73,NA,11,"1/1/2017",0.1,1,1,85
"unconfirmed","Brooklyn","Fort Greene",40.69142,-73.97376,"United States","US",TRUE,"strict","Private room",2009,212,42,NA,135,"6/17/2019",1.16,1,2,NA
"unconfirmed","Brooklyn","Bedford-Stuyvesant",40.68043,-73.93934,"United States","US",FALSE,"moderate","Private room",2015,728,146,NA,112,"6/16/2019",1.01,2,3,NA
"unconfirmed","Manhattan","Upper West Side",40.78635,-73.97008,"United States","US",TRUE,"strict","Entire home/apt",2013,901,180,NA,73,"7/7/2019",0.63,3,1,NA
"verified","Brooklyn","Williamsburg",40.7042,-73.9356,"United States","US",FALSE,"flexible","Entire home/apt",2007,335,67,NA,82,"5/17/2019",0.7,2,1,NA
"unconfirmed","Brooklyn","Greenpoint",40.73506,-73.95392,"United States","US",TRUE,"moderate","Entire home/apt",2014,254,51,NA,328,"6/29/2019",2.82,5,1,NA
"verified","Manhattan","Kips Bay",40.73961,-73.98074,"United States","US",TRUE,"moderate","Entire home/apt",2017,903,181,NA,19,"3/25/2019",0.22,5,1,NA
"unconfirmed","Brooklyn","Williamsburg",40.70881,-73.9593,"United States","US",FALSE,"moderate","Entire home/apt",2012,439,88,30,105,"6/22/2019",0.9,5,1,NA
"unconfirmed","Manhattan","Lower East Side",40.72004,-73.99104,"United States","US",TRUE,"flexible","Private room",2009,1024,205,5,19,"5/18/2019",0.17,4,1,NA
NA,"Manhattan","Hell's Kitchen",40.75531,-73.99293,"United States","US",TRUE,"strict","Private room",2006,658,132,2,289,"6/9/2019",2.49,3,2,NA
"verified","Brooklyn","Greenpoint",40.72401,-73.93788,"United States","US",FALSE,"flexible","Private room",2020,543,109,4,138,"6/4/2019",1.19,1,3,NA
"verified","Manhattan","SoHo",40.7221,-73.99775,"United States","US",TRUE,"strict","Entire home/apt",2019,256,51,30,21,"6/29/2019",0.3,5,1,NA
NA,"Brooklyn","Williamsburg",40.71185,-73.96204,"United States","US",FALSE,"moderate","Private room",2012,294,59,2,42,"6/30/2019",0.38,3,1,NA
"unconfirmed","Manhattan","Chelsea",40.74623,-73.9953,"United States","US",TRUE,"moderate","Entire home/apt",2004,779,156,180,5,"11/3/2018",0.12,2,1,NA
"unconfirmed","Manhattan","Upper East Side",40.77065,-73.95269,"United States","US",FALSE,"strict","Entire home/apt",2020,653,131,2,66,"3/30/2019",0.57,5,2,NA
NA,"Brooklyn","Prospect Heights",40.67811,-73.96428,"United States","US",TRUE,"flexible","Entire home/apt",2012,303,61,30,143,"1/26/2019",1.33,1,2,NA
"unconfirmed","Brooklyn","Clinton Hill",40.69,-73.96788,"United States","US",FALSE,"flexible","Private room",2010,825,165,7,27,"9/30/2017",0.23,2,2,NA
"verified","Manhattan","Hell's Kitchen",40.75979,-73.99119,"United States","US",FALSE,"strict","Private room",2013,646,129,30,191,NA,1.65,1,1,NA
"verified","Brooklyn","Park Slope",40.67343,-73.98338,"United States","US",FALSE,"flexible","Entire home/apt",2006,1037,207,3,4,"9/24/2017",0.16,3,1,NA
"unconfirmed","Manhattan","East Village",40.72649,-73.97904,"United States","US",FALSE,"strict","Private room",2015,87,17,1,338,"7/1/2019",4.72,3,2,NA
"unconfirmed","Brooklyn","Williamsburg",40.70933,-73.96792,"United States","US",TRUE,"moderate","Entire home/apt",2007,316,63,1,148,"6/23/2019",1.4,1,1,NA
"unconfirmed","Manhattan","East Village",40.72298,-73.98474,"United States","US",TRUE,"flexible","Private room",2017,735,147,1,106,"6/21/2019",1.26,3,2,NA
NA,"Manhattan","East Harlem",40.80164,-73.93922,"United States","US",FALSE,"flexible","Entire home/apt",2017,524,105,4,190,"6/23/2019",1.64,4,1,NA
"unconfirmed","Manhattan","East Village",40.72162,-73.98008,"United States","US",FALSE,"moderate","Entire home/apt",2019,238,48,9,49,"5/14/2018",0.43,3,1,NA
"verified","Manhattan","Hell's Kitchen",40.76342,-73.98865,"United States","US",FALSE,"moderate","Private room",2017,603,121,7,23,"6/1/2019",0.43,3,1,NA
NA,NA,"Washington Heights",40.83139,-73.94095,"United States","US",TRUE,"moderate","Private room",2011,571,114,2,49,"6/18/2019",1.6,2,2,NA
"unconfirmed",NA,"Clinton Hill",40.68346,-73.96374,"United States","US",TRUE,"strict","Private room",2014,398,80,2,105,"6/26/2019",0.92,1,1,NA
"verified",NA,"East Village",40.72828,-73.98801,"United States","US",FALSE,"strict","Entire home/apt",2018,618,124,5,21,"1/2/2019",0.2,4,1,NA
"verified",NA,"Upper East Side",40.76865,-73.95058,"United States","US",FALSE,"strict","Private room",2007,116,23,1,142,"7/6/2019",1.5,4,1,NA
"unconfirmed",NA,"Woodside",40.75038,-73.90334,"United States","US",TRUE,"flexible","Private room",2012,54,11,30,25,NA,0.22,2,1,NA
NA,"Brooklyn","Fort Greene",40.6932,-73.97267,"United States","US",TRUE,"flexible","Private room",2013,744,149,3,143,"6/16/2019",1.28,2,1,NA
"unconfirmed","Manhattan","Chelsea",40.74138,-74.00197,"United States","US",TRUE,"strict","Private room",2011,1065,213,3,167,"5/28/2019",1.65,4,1,NA
"verified","Brooklyn","Williamsburg",40.71154,-73.96112,"United States","US",FALSE,"moderate","Private room",2017,1057,211,3,61,"4/22/2019",0.54,3,4,NA
"verified","Manhattan","Harlem",40.82915,-73.95136,"United States","US",TRUE,"flexible","Entire home/apt",2005,1056,211,31,54,"3/23/2019",0.49,3,1,NA
"verified","Manhattan","Lower East Side",40.71851,-73.98892,"United States","US",FALSE,"moderate","Entire home/apt",2017,909,182,5,70,NA,0.62,4,1,NA
"verified","Brooklyn","Flatbush",40.65401,-73.96323,"United States","US",TRUE,"moderate","Entire home/apt",2017,586,117,6,16,"6/15/2019",0.15,4,1,NA
"unconfirmed","Manhattan","Lower East Side",40.7114,-73.98794,"United States","US",TRUE,"strict","Private room",2013,575,115,30,94,"4/8/2019",0.84,3,1,NA
"unconfirmed","Brooklyn","Brooklyn Heights",40.69723,-73.99268,"United States","US",FALSE,"strict","Entire home/apt",2013,292,58,1,25,"8/4/2016",0.24,3,1,NA
"verified","Brooklyn","Williamsburg",40.71833,-73.95748,"United States","US",TRUE,"strict","Entire home/apt",2007,194,39,3,61,"8/9/2018",0.53,4,1,NA
"unconfirmed","Manhattan","East Village",40.72334,-73.9844,"United States","US",FALSE,"flexible","Private room",2022,123,25,3,194,"6/30/2019",1.73,2,1,NA
NA,"Manhattan","East Village",40.72912,-73.98057,"United States","US",FALSE,"strict","Private room",2004,1079,216,1,2,"2/14/2016",0.05,5,1,NA
"unconfirmed",NA,"Williamsburg",40.71156,-73.96218,"United States","US",FALSE,"moderate","Private room",2015,266,53,3,174,"6/22/2019",1.54,5,4,NA
NA,NA,"Bushwick",40.70032,-73.9383,"United States","US",FALSE,"moderate","Private room",2012,728,146,4,24,NA,0.28,5,1,NA
"unconfirmed",NA,"Prospect Heights",40.68233,-73.97261,"United States","US",FALSE,"flexible","Entire home/apt",2021,583,117,4,166,"6/27/2019",3.4,2,1,NA
"unconfirmed","Brooklyn","Clinton Hill",40.68634,-73.966,"United States","US",TRUE,"moderate","Private room",2012,51,10,7,16,"5/31/2019",0.2,NA,6,NA
"unconfirmed","Brooklyn","Prospect Heights",40.68035,-73.97162,"United States","US",FALSE,"moderate","Entire home/apt",2018,588,118,7,21,"5/21/2019",0.3,NA,1,NA
NA,"Brooklyn","Williamsburg",40.70984,-73.95775,"United States","US",FALSE,"moderate","Entire home/apt",2010,360,72,5,168,"7/22/2018",1.57,NA,1,82
"verified","Brooklyn","Bushwick",40.70093,-73.92609,"United States","US",TRUE,"strict","Entire home/apt",2011,380,76,NA,118,"6/18/2019",1.05,NA,2,92
"verified","Manhattan","Upper West Side",40.79764,-73.96177,"United States","US",TRUE,"strict","Entire home/apt",2017,343,69,NA,NA,"7/7/2019",0.71,NA,1,55
NA,"Manhattan","Harlem",40.82803,-73.94731,"United States",NA,NA,"flexible","Private room",2021,160,32,NA,1,"10/9/2018",0.11,NA,1,158
"verified","Manhattan","Chelsea",40.74008,-74.00271,"United States",NA,NA,"moderate","Private room",2022,528,106,NA,30,"5/1/2019",0.27,NA,2,64
"unconfirmed","Brooklyn","Bedford-Stuyvesant",40.68413,-73.92357,"United States",NA,NA,"moderate","Entire home/apt",2009,739,148,NA,139,"10/28/2018",1.23,NA,2,184
"unconfirmed","Manhattan","Harlem",40.82279,-73.95139,"United States",NA,NA,"flexible","Private room",2013,913,183,NA,11,NA,0.87,NA,3,201
"unconfirmed","Brooklyn","Carroll Gardens",40.67967,-74.00154,"United States",NA,NA,"flexible","Entire home/apt",2006,507,101,NA,233,"6/24/2019",2.09,NA,3,328
"verified","Manhattan","Washington Heights",40.83927,-73.94281,"United States",NA,NA,"strict","Private room",2007,306,61,NA,68,"1/2/2022",0.6,NA,1,393
"verified","Manhattan","West Village",40.73096,-74.00319,"United States",NA,NA,"strict","Entire home/apt",2012,1078,216,NA,46,"5/18/2019",0.55,2,2,96
"verified","Brooklyn","Williamsburg",40.71332,-73.94177,"United States",NA,NA,"moderate","Private room",2004,887,177,NA,335,"5/29/2019",3.02,1,1,61
"verified","Brooklyn","Park Slope",40.66941,-73.98109,"United States",NA,NA,"moderate","Entire home/apt",2008,243,49,30,88,"11/2/2018",0.79,2,1,267
"unconfirmed","Brooklyn","Bedford-Stuyvesant",40.68373,-73.92377,"United States",NA,NA,"flexible","Entire home/apt",2016,500,100,90,162,"6/28/2019",1.46,3,2,189
"unconfirmed","Brooklyn","Williamsburg",40.71459,-73.94844,"United States","US",FALSE,"strict","Entire home/apt",2017,589,118,30,29,"5/26/2018",0.4,1,1,83
"unconfirmed","Manhattan","Harlem",40.8092,-73.94421,"United States","US",TRUE,"flexible","Private room",2005,839,168,2,170,"6/23/2019",1.61,1,1,258
"verified","Brooklyn","Gowanus",40.68157,-73.98989,"United States","US",FALSE,"strict","Entire home/apt",2011,528,106,30,19,"3/17/2017",0.2,2,1,400
"unconfirmed","Manhattan","Hell's Kitchen",40.75527,-73.99291,"United States","US",TRUE,"strict","Private room",2014,66,13,2,334,"6/16/2019",3,1,2,34
"unconfirmed","Brooklyn","Clinton Hill",40.68698,-73.96572,"United States","US",TRUE,"flexible","Private room",2014,761,152,2,19,"6/2/2019",0.2,4,6,203
"verified","Manhattan","East Village",40.7288,-73.98192,"United States","US",TRUE,"flexible","Entire home/apt",2007,523,105,7,12,NA,0.13,5,1,35
NA,"Brooklyn","South Slope",40.66853,-73.98912,"United States","US",TRUE,"strict","Entire home/apt",2004,631,126,30,467,"12/30/2018",4.22,3,2,280
NA,"Manhattan","East Village",40.7254,-73.98157,"United States","US",FALSE,"flexible","Entire home/apt",2008,677,135,2,7,"8/9/2017",0.06,5,NA,417
NA,"Manhattan","Kips Bay",40.74294,-73.98009,"United States","US",TRUE,"flexible","Entire home/apt",2008,574,115,5,38,"12/2/2015",0.38,3,NA,162
NA,"Brooklyn","Williamsburg",40.71942,-73.95748,"United States","US",TRUE,"flexible","Entire home/apt",2003,232,46,3,324,"6/23/2019",3.01,NA,NA,169
NA,"Manhattan","Upper West Side",40.77823,-73.97637,"United States","US",FALSE,"strict","Entire home/apt",NA,1154,231,6,27,"4/27/2019",0.27,NA,NA,237
NA,"Manhattan","East Village",40.72555,-73.97965,"United States","US",FALSE,"strict","Entire home/apt",NA,737,147,1,115,"6/7/2019",1.05,NA,NA,242
NA,"Brooklyn","South Slope",40.66831,-73.98604,"United States","US",TRUE,"moderate","Private room",NA,456,91,2,354,"5/20/2019",3.2,NA,NA,227
NA,"Manhattan","Harlem",40.82754,-73.94919,"United States","US",TRUE,"moderate","Entire home/apt",2005,291,58,2,195,"7/1/2019",2.03,NA,NA,173
NA,"Brooklyn","South Slope",40.66499,-73.97925,"United States","US",TRUE,"strict","Entire home/apt",2021,996,199,2,16,"12/30/2018",0.24,NA,NA,146
NA,"Manhattan","Upper West Side",40.77842,-73.97556,"United States","US",TRUE,"flexible","Entire home/apt",2008,788,158,7,13,"6/26/2019",0.12,NA,NA,243
"unconfirmed","Manhattan","East Village",40.72245,-73.98527,"United States","US",TRUE,"flexible","Entire home/apt",2013,1105,221,4,25,"12/10/2021",0.23,1,NA,425
"verified","Brooklyn","Prospect-Lefferts Gardens",40.65593,-73.96053,"United States","US",TRUE,"moderate","Private room",2015,1109,222,2,9,"10/5/2018",0.08,4,NA,113
"verified","Brooklyn","Williamsburg",40.71923,-73.96468,"United States","US",TRUE,"strict","Private room",2004,659,132,1,9,"9/18/2021",0.08,4,NA,260
"unconfirmed","Manhattan","Upper East Side",40.778,-73.94822,"United States","US",FALSE,"strict","Entire home/apt",2007,571,114,5,21,"8/15/2024",0.19,4,NA,395
"verified","Manhattan","Washington Heights",40.85879,-73.93128,"United States","US",TRUE,"flexible","Private room",2010,736,147,15,36,"8/17/2017",0.33,5,NA,266
"verified","Brooklyn","Bedford-Stuyvesant",40.68332,-73.9547,"United States","US",TRUE,"moderate","Private room",2013,946,189,3,63,"5/14/2019",0.58,1,NA,58
"unconfirmed","Manhattan","Harlem",40.81618,-73.94894,"United States","US",TRUE,"flexible","Entire home/apt",2005,449,90,3,155,"6/20/2019",1.42,3,3,410
"verified","Brooklyn","Clinton Hill",40.68414,-73.96351,"United States","US",FALSE,"moderate","Private room",2018,930,186,3,260,"7/3/2019",2.35,4,1,388
"verified","Manhattan","East Village",40.72392,-73.99143,"United States","US",FALSE,"strict","Entire home/apt",2006,329,66,5,73,"6/25/2019",0.66,4,1,13
"verified","Brooklyn","Greenpoint",40.73494,-73.9503,"United States","US",FALSE,"flexible","Private room",2006,1125,225,3,193,"5/20/2019",1.86,2,1,62
"unconfirmed","Manhattan","Lower East Side",40.71341,-73.98856,"United States","US",FALSE,"moderate","Entire home/apt",2013,1099,220,3,32,"6/14/2019",0.29,5,1,62
"unconfirmed","Manhattan","Hell's Kitchen",40.76754,-73.98399,"United States","US",FALSE,"strict","Private room",2013,256,51,2,50,"5/26/2019",0.45,2,3,366
"unconfirmed","Manhattan","West Village",40.73442,-74.00303,"United States","US",FALSE,"strict","Entire home/apt",2013,263,53,29,26,"7/1/2019",0.25,5,1,338
"unconfirmed","Brooklyn","Flatlands",40.63188,-73.93248,"United States","US",TRUE,"moderate","Private room",2020,96,19,2,2,"1/1/2019",0.02,4,1,334
"verified","Brooklyn","Clinton Hill",40.6873,-73.9634,"United States","US",TRUE,"strict","Private room",2021,1192,238,NA,426,"6/24/2019",3.89,3,3,92
"unconfirmed","Brooklyn","Bedford-Stuyvesant",40.68296,-73.93662,"United States","US",FALSE,"flexible","Entire home/apt",2010,593,119,NA,227,"6/23/2019",2.09,5,2,-10
"verified","Brooklyn","Clinton Hill",40.6863,-73.96765,"United States","US",TRUE,"flexible","Private room",2012,490,98,NA,84,NA,0.77,2,3,378
"verified","Brooklyn","Greenpoint",40.73409,-73.95348,"United States","US",FALSE,"moderate","Entire home/apt",2016,488,98,NA,NA,NA,0.03,4,1,325
"unconfirmed","Brooklyn","Williamsburg",40.71561,-73.94835,"United States","US",TRUE,"moderate","Entire home/apt",2004,658,132,NA,10,NA,0.1,5,1,-2
"unconfirmed","Brooklyn","Cobble Hill",40.6857,-73.99183,"United States","US",FALSE,"flexible","Entire home/apt",2017,1109,222,NA,4,NA,0.04,3,1,351
"unconfirmed","Queens","Flushing",40.74028,-73.83168,"United States","US",TRUE,"strict","Private room",2018,606,121,NA,1,NA,0.01,4,1,389
"unconfirmed","Brooklyn","Bedford-Stuyvesant",40.68281,-73.93524,"United States","US",FALSE,"moderate","Entire home/apt",2007,853,171,NA,124,NA,1.72,2,2,16
"unconfirmed","Brooklyn","Williamsburg",40.71596,-73.93938,"United States","US",FALSE,"strict","Entire home/apt",2011,172,34,NA,11,"7/2/2019",0.11,3,1,325
"verified","Brooklyn","Williamsburg",40.71492,-73.95935,"United States","US",TRUE,"strict","Entire home/apt",2007,NA,64,4,240,"6/17/2019",2.19,3,1,337
"verified",NA,"East Village",40.72354,-73.98295,"United States","US",FALSE,"strict","Entire home/apt",2003,NA,119,3,30,"6/17/2019",0.28,5,1,344
"verified","Brooklyn","Williamsburg",40.71165,-73.96087,"United States","US",FALSE,"moderate","Private room",2003,1133,227,3,200,"6/22/2019",1.86,5,4,166
"unconfirmed","Brooklyn","Fort Greene",40.69101,-73.97312,"United States","US",TRUE,"strict","Private room",2014,162,32,8,27,"6/29/2019",1.05,4,5,18
"verified","Manhattan","West Village",40.73474,-74.00101,"United States","US",FALSE,"moderate","Private room",2009,944,189,4,79,"6/22/2019",0.74,3,1,130
"unconfirmed","Brooklyn","Prospect Heights",40.67386,-73.96641,"United States","US",TRUE,"moderate","Private room",2009,505,101,15,9,"5/10/2013",0.09,2,1,43
"verified","Brooklyn","Williamsburg",40.71536,-73.96057,"United States","US",TRUE,"strict","Private room",2009,113,23,3,155,"6/13/2019",1.61,2,1,18
"unconfirmed","Brooklyn","Prospect Heights",40.6741,-73.96595,"United States","US",FALSE,"flexible","Entire home/apt",2020,810,162,15,4,"8/27/2018",0.05,3,1,0
"unconfirmed","Manhattan","East Harlem",40.79295,-73.93997,"United States","US",TRUE,"moderate","Private room",2022,370,74,2,34,NA,0.32,5,1,373
"verified","Manhattan","West Village",40.73226,-74.00401,NA,NA,NA,NA,"Entire home/apt",2018,738,148,45,134,NA,1.24,3,1,426
"unconfirmed","Brooklyn","Williamsburg",40.71363,-73.96398,NA,NA,NA,NA,"Entire home/apt",2007,1013,203,6,27,NA,0.25,3,1,396
"unconfirmed","Manhattan","Upper East Side",40.77711,-73.9527,NA,NA,NA,NA,"Entire home/apt",2004,464,93,4,126,NA,1.16,1,2,280
"unconfirmed","Brooklyn","Boerum Hill",40.68559,-73.98094,NA,NA,NA,NA,"Entire home/apt",2006,744,149,3,23,NA,0.27,2,1,419
"verified","Manhattan","Upper East Side",40.77456,-73.95323,NA,NA,NA,NA,"Entire home/apt",2014,764,153,1,234,"6/8/2019",2.6,5,2,353
"unconfirmed",NA,"Williamsburg",40.71088,-73.95055,NA,NA,NA,NA,"Private room",2022,1020,204,4,202,"5/28/2019",1.86,5,2,377
"unconfirmed","Queens","Sunnyside",40.74559,-73.92313,NA,NA,NA,NA,"Private room",2018,355,71,30,28,"4/12/2019",0.26,1,1,395
"verified","Brooklyn","Bedford-Stuyvesant",40.68306,-73.94659,NA,NA,NA,NA,"Entire home/apt",2008,244,49,2,309,"6/22/2019",NA,4,2,169
"unconfirmed","Brooklyn","DUMBO",40.70207,-73.98571,"United States","US",TRUE,"strict","Private room",2016,385,77,47,14,"4/25/2021",NA,2,1,190
"verified","Manhattan","Upper East Side",40.76123,-73.9642,"United States","US",FALSE,"flexible","Entire home/apt",2021,950,190,81,4,"9/23/2016",NA,1,1,335
"verified","Brooklyn","Gowanus",40.66858,-73.99083,"United States","US",FALSE,"strict","Entire home/apt",2021,374,75,144,80,"7/6/2019",NA,2,1,52
"unconfirmed","Manhattan","Harlem",40.82704,-73.94907,"United States","US",FALSE,"flexible","Entire home/apt",2011,375,75,371,2,"11/2/2015",NA,4,1,70
NA,NA,"Clinton Hill",40.68843,-73.96408,"United States","US",TRUE,"strict","Private room",2004,925,185,149,294,"6/24/2019",NA,3,3,311
NA,"Brooklyn","Carroll Gardens",40.6783,-74.00135,"United States","US",FALSE,"moderate","Entire home/apt",2008,842,168,273,150,"6/18/2019",1.4,5,3,141
